"Pair_ID","Forward","Reverse","Distance","Coexpression_Coefficient","BH","DE_Forward","DE_Reverse","Count"
"Pair_764","TraesCS5D02G163400","TraesCS5D02G163300",571,-0.02,0.643335281035169,"4v23 ","4v23 ",1
"Pair_765","TraesCS5D02G179000","TraesCS5D02G178900",148,0.51,0,"","4v23 DH ",0
"Pair_766","TraesCS5D02G187600","TraesCS5D02G187400",731,-0.01,0.898924021833389,"","",0
"Pair_767","TraesCS5D02G193900","TraesCS5D02G193800",393,0.48,0,"","4v23 ",0
"Pair_768","TraesCS5D02G196800","TraesCS5D02G196700",660,-0.01,0.882520878392017,"","",0
"Pair_769","TraesCS5D02G198600","TraesCS5D02G198500",285,0.42,0,"MS ","",0
"Pair_77","TraesCS1B02G434500","TraesCS1B02G434400",152,-0.01,0.862417208621268,"MS ","4v23 ",1
"Pair_770","TraesCS5D02G206900","TraesCS5D02G206800",188,0.96,0,"","",0
"Pair_771","TraesCS5D02G207100","TraesCS5D02G207000",367,0.92,0,"","",0
"Pair_772","TraesCS5D02G207300","TraesCS5D02G207200",282,0.99,0,"","",0
"Pair_773","TraesCS5D02G207900","TraesCS5D02G207800",539,0.02,0.750160228120437,"","MS 4v23 DH ",0
"Pair_774","TraesCS5D02G218000","TraesCS5D02G217800",104,0.45,0,"4v23 ","MS ",1
"Pair_775","TraesCS5D02G220300","TraesCS5D02G220200",670,0.07,0.0254006566800342,"","",0
"Pair_776","TraesCS5D02G223000","TraesCS5D02G222900",110,0.58,0,"","",0
"Pair_777","TraesCS5D02G231600","TraesCS5D02G231500",167,0.37,0,"MS ","MS 4v23 ",2
"Pair_778","TraesCS5D02G242600","TraesCS5D02G242500",204,0.18,3.41203824527625e-08,"","MS ",0
"Pair_779","TraesCS5D02G249400","TraesCS5D02G249300",891,-0.06,0.0594285478362593,"","",0
"Pair_78","TraesCS1B02G436700","TraesCS1B02G436600",437,0.22,2.13234472096342e-12,"","",0
"Pair_780","TraesCS5D02G272600","TraesCS5D02G272400",974,0.11,0.000597758779324,"4v23 ","",0
"Pair_781","TraesCS5D02G273000","TraesCS5D02G272900",149,0.13,3.3428885167463e-05,"DH ","",0
"Pair_782","TraesCS5D02G288100","TraesCS5D02G288000",809,0.26,0,"","4v23 ",0
"Pair_783","TraesCS5D02G289500","TraesCS5D02G289400",148,0.32,0,"MS 4v23 ","4v23 ",2
"Pair_784","TraesCS5D02G294900","TraesCS5D02G294800",839,0.21,2.87527112315894e-11,"","",0
"Pair_785","TraesCS5D02G307300","TraesCS5D02G307200",150,0.36,0,"DH ","MS 4v23 ",2
"Pair_786","TraesCS5D02G337800","TraesCS5D02G337700",191,0.73,0,"4v23 ","4v23 ",1
